Name,Description,Link,Cost,Amount,Total
Factory P5 Indoor 320mmx160mm 16 Scan SMD Full Color Module 64x32 Pixels Dot Matrix Panel Video Screen Board,64x32 LED Matrix,https://www.aliexpress.us/item/2251832185365664.html?spm=a2g0o.cart.0.0.64d038dauBZnYy&mp=1&pdp_npi=6%40dis%21USD%21USD%2012.49%21USD%2011.69%21%21USD%2011.69%21%21%21%402103128917674129797053573ecebd%2157993804537%21ct%21US%216602055344%21%211%210%21&gatewayAdapt=glo2usa,$11.69,1,$11.69
HUB75 RGB LED Matrix Opto Evaluation Extension Board S3 Circuitpython Powered Internet Display,Matrix Portal ESP-S3,https://www.aliexpress.us/item/3256810420069690.html?spm=a2g0o.cart.0.0.64d038dauBZnYy&mp=1&pdp_npi=6%40dis%21USD%21USD%2034.55%21USD%2022.80%21%21USD%2022.80%21%21%21%402103128917674129797053573ecebd%2112000052957076504%21ct%21US%216602055344%21%211%210%21&gatewayAdapt=glo2usa,$26.00,1,$26.00
